company_name,title,location,job_types,tags,is_remote
JobAtlas,Erfahrener Projektmanager (m/w/d) - Windenergie,Hanover,[],['Project Management'],False
JobAtlas,Erfahrener Projektmanager (m/w/d) - Windenergie,Leer,[],['Project Management'],False
JobAtlas,Erfahrener Projektmanager (m/w/d) - Windenergie,Mainz,[],['Project Management'],False
JobAtlas,Senior Projektentwickler Wind (m/w/d) - Schwerpunkt Genehmigungsplanung,Oldenburg,[],['Project Management'],False
Strategy Core Ventures GmbH,Werkstudent Online Marketing (m/w/d),Hamburg,['Working student'],['Online Marketing'],False
JobAtlas,(Senior) Financial Controller (m/w/d) - Analyse und Strategie,Essen,[],['Controlling'],False
JobAtlas,Projektentwickler (m/w/d) Batteriespeicher BESS - Erneuerbare Energien,Mainz,[],['Project Management'],False
JobAtlas,Projektmanager (m/w/d) Batteriespeicher BESS - Erneuerbare Energien,Hanover,[],['Project Management'],False
JobAtlas,Projektmanager (m/w/d) Batteriespeicher BESS - Erneuerbare Energien,Berlin,[],['Project Management'],False
JobAtlas,Projektmanager (m/w/d) Batteriespeicher BESS - Erneuerbare Energien,Leer,[],['Project Management'],False
DICOS,System-Administrator It-Betrieb (W/M/D),Darmstadt,['berufseinstieg'],['IT'],False
JobAtlas,Projektmanager Batteriespeicher (m/w/d) - Schwerpunkt Genehmigungsplanung,Hanover,[],['Power Engineering and Environmental Engineering'],False
DICOS,It Operations Consultant (W/M/D),Darmstadt,['berufserfahren'],['IT'],False
IONOS SE,Software Architect (w/m/d) AI Agent Ecosystem,Karlsruhe,[],['Product Management'],False
Doctario GmbH,"Intern, Business Development [€2.300/Monat]",Grünwald,"['Internship', 'berufseinstieg']",['Business Development'],False
K-tronik GmbH,Software Entwicklungsingenieur (m/w/d),Frankfurt,['berufserfahren'],['Engineering'],False
Busemann & Schremmer Immobilien,MINI-JOB Technischer Objektbetreuer/ Gebäudeaufnehmer in der Energieberatung (m/w/d),Garbsen,[],['Power Engineering and Environmental Engineering'],False
APD Schlauchtechnik GmbH,Industriemechaniker/in (m/w/d),Mülheim,[],['Engineering'],False
